94161,1,2
94163,1,3
94186,1,3
94201,1,1
94212,0,1
94218,1,2
94233,1,3
94238,1,3
94239,1,3
94250,1,0
94257,1,1
94261,0,0
94273,1,3
94293,1,0
94301,1,3
94324,3,4
94325,1,1
94332,2,5
94364,3,4
94368,1,3
94381,1,4
94394,1,1
94402,1,3
94413,2,2
94414,2,3
94428,0,0
94452,3,2
94457,3,3
94462,1,3
94464,1,1
94468,0,0
94477,3,4
94486,0,1
94490,3,2
94491,0,0
94498,0,0
94514,1,4
94522,1,3
94526,3,4
94540,1,3
94561,1,2
94585,3,4
94586,1,2
94587,1,3
94588,1,3
94604,3,3
94619,2,4
94622,1,2
94627,0,0
94641,1,2
94646,1,3
94647,2,2
94648,1,3
94652,3,4
94689,1,2
94695,1,3
94699,2,3
94702,3,2
94704,1,3
94708,1,3
94714,1,3
94721,2,2
94725,1,3
94735,3,4
94739,2,3
94741,2,3
94742,0,0
94755,1,3
94756,2,3
94761,0,0
94769,1,2
94770,1,2
94771,0,0
94773,1,2
94782,1,3
94786,3,1
94830,1,2
94831,1,3
94832,1,2
94833,1,2
94834,3,4
94836,3,4
94842,2,3
94843,1,4
94847,1,3
94849,0,0
94864,1,2
94875,1,1
94881,1,3
94883,1,2
94887,2,2
94893,0,0
94903,1,2
94912,1,2
94914,2,4
94936,1,2
94946,2,3
94952,0,0
94957,1,4
94960,1,3
94986,1,2
94988,1,3
94991,1,3
94997,2,3
95001,3,4
95008,1,2
95010,1,4
95011,1,2
95016,1,3
95026,2,3
95041,3,4
95061,1,2
95063,1,2
95080,1,2
95085,1,3
95094,1,2
95099,1,0
95104,1,2
95111,3,4
95112,0,0
95119,1,3
95121,3,3
95137,3,2
95142,1,0
95144,0,0
95161,2,4
95219,2,3
95224,3,4
95227,1,1
95233,1,3
95241,3,4
95244,3,2
95246,0,0
95252,1,3
95269,1,1
95271,1,3
95273,1,3
95277,0,0
95282,2,5
95284,2,3
95286,3,3
95288,2,2
95320,1,2
95335,3,3
95336,1,1
95349,0,1
95356,1,3
95358,1,1
95359,3,4
95389,0,2
95403,2,2
95410,1,1
95413,1,1
95431,1,3
95437,0,0
95443,0,0
95447,1,3
95451,1,2
95470,1,3
95484,1,0
95487,2,3
95504,1,2
95512,2,2
95519,1,3
95529,1,2
95536,1,2
95542,1,2
95552,1,4
95556,1,3
95563,1,3
95567,1,3
95576,1,3
95585,2,3
95611,1,3
95614,1,3
95615,1,2
95616,1,2
95628,0,0
95645,3,4
95648,2,0
95672,2,3
95674,1,2
95678,3,4
95681,0,0
95696,1,2
95697,1,4
95703,1,3
95717,3,3
95718,1,2
95735,1,1
95744,3,4
95756,1,0
95760,1,3
95766,1,3
95769,1,3
95777,1,3
95785,2,3
95793,1,3
95816,1,0
95820,1,3
95827,2,3
95828,1,2
95852,3,2
95859,2,2
95870,1,1
95872,1,3
95889,2,3
95891,0,0
95904,1,3
95918,1,3
95919,1,3
95921,2,3
95922,3,4
95945,1,3
95959,1,1
95963,3,4
95977,1,2
95987,1,2
95994,1,3
96001,1,2
96002,1,3
96006,1,3
96027,3,2
96035,3,4
96047,1,2
96053,1,3
96059,1,2
96062,1,3
96078,2,2
96088,2,2
96109,1,3
96112,2,4
96113,1,1
96120,3,4
96122,2,3
96125,1,3
96128,1,3
96156,2,3
96160,1,2
96167,1,3
96221,2,3
96243,2,2
96260,1,3
96264,2,3
96274,0,0
96275,1,3
96277,1,2
96278,1,2
96283,3,4
96285,2,3
96298,4,3
96304,1,3
96312,3,4
96314,1,1
96317,1,0
96332,0,0
96354,1,3
96367,1,2
96381,1,3
96383,3,4
96393,2,3
96394,1,0
96396,1,2
96400,1,4
96404,1,1
96411,0,2
96413,1,2
96422,0,0
96437,2,3
96438,1,3
96441,3,2
96447,1,3
96451,2,3
96455,2,3
96465,1,2
96467,3,3
